"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2020","8.370","8.290","8.395","8.065","-","1.21%"
"Oct 27, 2020","8.270","8.490","8.510","8.200","17.99M","-2.48%"
"Oct 26, 2020","8.480","8.670","8.690","8.450","13.83M","-2.08%"
"Oct 23, 2020","8.660","8.800","8.810","8.640","21.09M","-2.04%"
"Oct 22, 2020","8.840","8.900","8.930","8.740","24.93M","-0.56%"
"Oct 21, 2020","8.890","8.840","9.020","8.780","29.95M","0.79%"
"Oct 20, 2020","8.820","8.570","8.970","8.560","18.07M","3.04%"
"Oct 19, 2020","8.560","8.710","8.740","8.510","11.17M","-1.50%"
"Oct 16, 2020","8.690","8.730","8.880","8.630","17.35M","-0.91%"
"Oct 15, 2020","8.770","8.350","8.800","8.350","22.83M","3.54%"
"Oct 14, 2020","8.470","8.270","8.500","8.220","23.37M","2.54%"
"Oct 13, 2020","8.260","8.360","8.400","8.250","13.87M","-1.43%"
"Oct 12, 2020","8.380","8.580","8.610","8.360","21.88M","-2.44%"
"Oct 09, 2020","8.590","8.720","8.720","8.520","7.93M","-1.38%"
"Oct 08, 2020","8.710","8.410","8.730","8.390","25.61M","3.81%"
"Oct 07, 2020","8.390","8.400","8.520","8.310","24.36M","0.60%"
"Oct 06, 2020","8.340","8.480","8.550","8.300","19.25M","-1.18%"
"Oct 05, 2020","8.440","8.220","8.480","8.130","32.07M","3.18%"
"Oct 02, 2020","8.180","8.090","8.220","7.900","14.38M","0.37%"
"Oct 01, 2020","8.150","8.410","8.450","8.060","16.97M","-2.74%"
"Sep 30, 2020","8.380","8.110","8.460","8.080","28.84M","2.95%"
"Sep 29, 2020","8.140","8.300","8.310","8.110","16.50M","-1.93%"
"Sep 28, 2020","8.300","8.050","8.380","8.020","17.12M","3.88%"
"Sep 25, 2020","7.990","7.880","8.030","7.800","20.74M","1.40%"
"Sep 24, 2020","7.880","7.940","8.020","7.840","18.36M","-1.25%"
"Sep 23, 2020","7.980","8.010","8.130","7.890","18.07M","-0.13%"
"Sep 22, 2020","7.990","7.830","8.020","7.820","24.43M","2.17%"
"Sep 21, 2020","7.820","8.120","8.120","7.780","16.32M","-4.05%"
"Sep 18, 2020","8.150","8.120","8.270","8.020","78.54M","0.12%"
"Sep 17, 2020","8.140","8.480","8.480","8.110","27.95M","-3.44%"
"Sep 15, 2020","8.430","8.300","8.750","8.300","30.68M","1.57%"
"Sep 14, 2020","8.300","8.150","8.340","8.040","23.47M","3.23%"
"Sep 11, 2020","8.040","7.520","8.240","7.520","65.27M","6.91%"
"Sep 10, 2020","7.520","6.900","7.600","6.850","40.17M","8.67%"
"Sep 09, 2020","6.920","6.820","6.980","6.760","21.54M","1.62%"
"Sep 08, 2020","6.810","6.930","6.930","6.710","19.30M","-1.73%"
"Sep 07, 2020","6.930","6.900","6.950","6.830","1.22M","0.87%"
"Sep 04, 2020","6.870","6.840","6.940","6.710","20.23M","0.15%"
"Sep 03, 2020","6.860","7.130","7.130","6.760","32.09M","-3.24%"
